price,weight,size,color_int,brand_int,category
199,1.2,5,1,1,mobile
249,1.1,5,2,1,mobile
299,1.3,6,0,2,mobile
349,1.4,6,2,3,mobile
399,1.5,6,1,1,mobile
499,1.8,7,0,4,mobile
1299,2.2,13,1,5,laptop
1499,2.5,14,2,6,laptop
1599,2.6,15,1,7,laptop
999,1.9,13,0,3,laptop
1899,2.8,15,1,8,laptop
699,0.6,10,2,1,tablet
799,0.7,10,1,2,tablet
899,0.8,11,0,1,tablet
999,0.9,11,2,3,tablet
299,0.3,8,1,1,earbuds
349,0.4,8,2,2,earbuds
399,0.35,9,0,1,earbuds
449,0.38,9,2,2,earbuds
499,0.4,9,1,3,earbuds
149,0.25,4,0,1,smartwatch
199,0.28,4,2,2,smartwatch
249,0.3,5,1,3,smartwatch
299,0.32,5,2,1,smartwatch
349,0.34,5,0,2,smartwatch
999,4.0,45,0,5,television
1299,4.5,50,1,6,television
1599,5.0,55,2,3,television
1899,6.0,60,1,7,television
2199,7.0,65,0,8,television
59,0.2,3,1,1,charger
79,0.22,3,2,1,charger
99,0.25,3,0,2,charger
129,0.27,3,1,3,charger
229,0.35,7,2,4,headphones
279,0.38,8,1,5,headphones
329,0.4,8,0,4,headphones
379,0.42,9,2,3,headphones
429,0.45,9,1,5,headphones
549,1.0,12,0,6,speaker
649,1.2,12,1,5,speaker
749,1.3,13,2,7,speaker
849,1.4,13,0,8,speaker
949,1.5,14,1,6,speaker
